Ref,Guid,PricePointId,ProductReferenceCode,PercentDiscount
79,f7c39c4f-bdba-4603-8e87-92a575c2ae08,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Coaster_4x4_PackOf4,0.5997
81,e71437ef-8961-4c22-aed6-d481b486edae,563f6010-fbf4-4474-bc7f-f35879f6b1ee,DoubleSideBlanketPolar_60x80,0.6956
83,fab6f08e-bcc4-4ff0-bced-2d55642e3476,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FaceMaskAdjustable_Adult,0.3602
85,e5fcf1d6-abc4-4ac0-8e81-ac83c130f823,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FaceMaskPremium_7x4,0.3567
87,fe3a44be-0948-4d11-9535-672764e8e9b6,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_12x8_Oak_PackOf3,0.1999
89,e9c46914-6004-43df-a20f-4a5a1ccfd1d6,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_16x23_Black,0.4961
91,e751b8f3-bde6-4f12-93d2-31ca3a217114,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_23x16_Oak,0.4961
93,ec799c19-15ce-4a95-bc73-5b5b1f45cc37,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_33x23_White_PackOf3,0.6
95,f38bc055-73e6-408a-bc8a-435f9b99d74f,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_6x8_Black,0.6312
97,e8d8dfd9-3a19-4c6c-a320-3c6fda0e17f1,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_6x8_Oak,0.6312
99,ed5bf239-cdcf-472f-9a78-e932f5de8928,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_8x6_White,0.6312
101,e7fde07b-b881-42a9-b0fd-1672bd326dbf,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FramedTile_10x8_White_PackOf8,0.68
103,e6caa065-956b-40db-9500-ac1da256834f,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FramedTile_12x12_White,0.6798
105,fa0e6694-63f2-499e-9d76-07a42cce21ad,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FramedTile_16x12_White_PackOf8,0.68
107,fb862514-1dfe-4807-bb6b-2a6b85daac16,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FramedTile_8x10_Black_PackOf8,0.68
109,eab0b823-d9e4-4bfd-9288-71cd548f26a2,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_IphonePlastic_iPhone8plus_Black,0.3558
111,ead0505b-0fdd-4dce-a73f-20b60d3e8742,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_SamsungPlastic_GalaxyS6Edge_Black,0.3581
113,e92d7a30-91b8-4e07-ade4-26dbce2fda07,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_SamsungPlastic_GalaxyS6EdgePlus_Black,0.3581
115,f11102ed-7b4f-4a24-9f48-de246cad60a3,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_SamsungSilicon_GalaxyS20_Black,0.3602
117,f081cdc0-decb-47b1-a4a3-2860d61fffc9,563f6010-fbf4-4474-bc7f-f35879f6b1ee,MagnetPolaroid_3x4_PackOf6,0.6782
119,ec07f63d-be04-4bcb-afd0-bfc7f288b4d3,563f6010-fbf4-4474-bc7f-f35879f6b1ee,MagnetSquare_3x3_PackOf12,0.6803
121,ff0f7f2b-326a-4663-b607-99f9b9a1e7a7,563f6010-fbf4-4474-bc7f-f35879f6b1ee,MagnetStrip_2x8_PackOf9,0.6797
123,ea038faf-4c9a-4b2f-969c-a716e33349da,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Minisquare_4x4,0.4842
125,eb6dc4dd-4a29-4771-bc15-481ed4e44dd0,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Mug_Basic_White_PackOf2,0.6763
127,e322cae1-afff-4e13-b056-38de2a31361c,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Mug_Basic15oz_White_PackOf4,0.6798
129,e8fecd98-c9a9-440a-8abf-2da2966a7b6b,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Mug_Basic20oz_White_PackOf2,0.6794
131,fde71111-2906-452e-bce2-cfc15ce09c38,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Ornament_Tree,0.5994
133,e30824eb-400b-4fd8-8637-539e06cd7054,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_CailuxCover_12x8_Black_20pp,0.6799
135,e8727d92-48fd-4f32-8119-bb1c39623a1a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherCover_8x6_60pp,0.6787
137,fc45fc2c-bcc4-4060-aae3-087e8ac73b3a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherCover_8x8_100pp,0.6799
139,e41db3b0-8762-4e8d-83ae-5276e2cb2735,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_12x8_Black_60pp,0.6797
141,f72d6ea5-4b3b-421b-9ef4-a8c185de4b87,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_12x8_Cream_50pp,0.6797
143,f833c3cb-6ae3-47f1-9539-d81810ae084a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x6_Blue_100pp,0.6797
145,faae8609-299c-465e-828c-3547049fef0a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x6_Blue_40pp,0.679
147,e2b38ec3-908e-48d9-aac2-3862749e071b,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x6_Blue_60pp,0.6799
149,ee9a31f8-9ca8-4cc0-8911-371ad1116828,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x6_Cream_100pp,0.6797
151,fab372a7-76f7-43ff-a290-aa8ddc3e82b6,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x6_Purple_40pp,0.679
153,ff45b5bd-5634-4399-9f05-2f2b476c8a7a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x8_Black_100pp,0.6794
155,edceefea-4541-4643-8191-53437ec625ac,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x8_Purple_100pp,0.6794
157,fc49f2cc-e384-4e85-a69a-75d00c5b91ef,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x8_Purple_20pp,0.679
159,f6f16d17-566c-47c8-8e8d-b2a5be9320e2,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherLorenzo_8x8_Purple_40pp,0.6796
161,f6692129-efb5-446c-921a-82701949b8ba,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_PhotoHardCover_12x8_50pp,0.6799
163,eb0b8da7-30e8-44c3-bd1f-d3af78d03678,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_PhotoHardCover_12x8_60pp,0.6799
165,efa0ade0-32ce-4083-8c2a-18036d2ad020,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_PhotoHardCover_8x6_120pp,0.6799
167,f2dc1c43-19f1-4160-adb7-8dc84e31572a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_PhotoHardCover_8x6_180pp,0.68
169,e6ca653e-d224-423a-b73d-acaf1707b34e,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_PhotoHardCover_8x6_60pp,0.6795
171,e6ae458f-d842-43b7-81a0-5dd71a2ce55b,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_SoftCover_8x8_100pp,0.6799
173,f6270e6f-f5ed-4a51-9d95-e169f6bde9ce,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_VinylCover_8x8_60pp,0.6799
175,f39aca0a-ceb8-4833-9070-1d5d24384124,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_AcrylicWinFull_8x8_Black_20pp,0.76
177,ef76d834-588e-463c-a2de-feaa2fa434b3,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_AcrylicWinRect_12x8_Beige_20pp,0.712
179,f46606d2-a283-42d1-a54d-83f0fb2d7683,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_AcrylicWinRect_12x8_Gray_20pp,0.712
181,f82d0e9d-5942-48d4-949a-808adf45dc49,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_CailuxCover_12x12_Beige_20pp,0.76
183,ef5d7228-c551-4b43-bb3c-66922ed6ad54,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_CailuxCover_12x8_Gray_20pp,0.76
185,e69c660c-2ac8-4073-a044-f3a05ddbf78a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_CailuxCover_8x8_Black_20pp,0.744
187,e5acc645-b937-440f-8acf-6bdafefa8e8e,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_StdCailuxCover_12x8_Beige_30pp,0.76
189,fb64b18e-ccb7-4104-b178-4ea4a15622fa,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_StdCailuxCover_12x8_Black_40pp,0.76
191,fbc11616-cfc9-4905-94d2-c78b6aa9ae8d,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_StdCailuxCover_8x12_Beige_20pp,0.76
193,fd9a9450-e048-4ffc-a0c6-307ca95e0996,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_StdCailuxCover_8x12_Beige_40pp,0.76
195,ea35cff2-6ab6-4db2-94ff-4d8a81b13f0a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PBLayFlat_StdCailuxCover_8x12_Gray_30pp,0.76
197,faab0fa8-ec2d-4f77-bbe0-d7104e4dedcc,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PhotoTile_8x8,0.8228
199,f8a8dffb-8b17-413c-b859-5340a67c53cd,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PlacematMdf_11x8,0.6002
201,de485800-93c6-4276-992b-def1ce74d487,563f6010-fbf4-4474-bc7f-f35879f6b1ee,BlanketFlannelfleece_25x20,0.8549
203,c9cf1000-db28-4054-bca7-ffe6794b6254,563f6010-fbf4-4474-bc7f-f35879f6b1ee,BlanketFlannelfleece_40x30_PackOf3,0.8075
205,d593e4ee-0075-484d-b83b-e50c93821e0a,563f6010-fbf4-4474-bc7f-f35879f6b1ee,BlanketFlannelfleece_50x60,0.6475
207,df4daec2-e14b-436e-8f81-4c6888576126,563f6010-fbf4-4474-bc7f-f35879f6b1ee,BlanketFlannelfleece_60x80,0.5997
209,d17f862c-d5c3-40ab-ab8f-3e50b08d062d,563f6010-fbf4-4474-bc7f-f35879f6b1ee,BlanketSherpafleece_60x50,0.696
211,d3ef7852-66cf-4291-bac5-e6ee3825d91e,563f6010-fbf4-4474-bc7f-f35879f6b1ee,BoxedPuzzle_Board_15x11_PackOf3,0.64
213,cfdba7fc-ee37-4fcb-8cd1-a31b37571fc9,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Cal_Easel12p_7x5,0.1998
215,df7f427c-4e95-41ce-9d93-7665af7df5ac,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Cal_Kitchen_5x17,0.615
217,d5a16668-237c-4297-b27a-13d00f66cdac,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Cal_SinglePoster_20x16,0.1998
219,de378bef-315c-4714-9a19-cac49c23ecb4,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_12x10_FloatFrameWalnutFlair,0.5674
221,c340938c-f5fe-4f77-8082-7b23e75d727c,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_12x12,0.5997
223,db3dc726-bca2-4dc6-8a30-d08c62c37bca,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_12x12_FloatFrameWhite,0.5759
225,d2228063-44f5-41d2-a03c-9277db9467a1,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_16x10,0.5997
227,cb9d7f8e-d2e7-4ea5-b2d4-0cf4b63b43e8,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_16x20_FloatFrameBlack,0.5675
229,d93a5b55-172e-438e-ae7c-cc66a2eef978,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_16x20_FloatFrameWhite,0.5675
231,dd55d501-c9df-40e2-ac62-df98d98e43d7,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_20x16_FloatFrameBlack,0.5675
233,da359457-fc24-4894-9409-137b28d0f8e0,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_24x24,0.6313
235,cd579caf-c25a-4f2b-a683-4663c32f834d,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_30x20,0.5999
237,d856ed7e-a3d3-46a8-a7d9-780d16bded14,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_40x20,0.5757
239,de1ab115-a2af-482b-b6ff-3ac5f4382e83,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F18_8x10,0.6314
241,ddcbaa9d-01fe-4fc2-bc58-0ab229ce3563,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Canvas_F38_8x8,0.8059
243,c709889c-7be5-4dc1-a077-8a11b91965a1,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasBundleCluster_F18_38x36_P4,0.6395
245,cfa6f9ef-f310-4b69-9374-13cfccbe3ec9,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasBundleCluster_F18_38x38_P9,0.688
247,c5d04426-89eb-4e5c-915c-db4f073c422b,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasBundleCluster_F18_50x50_P9,0.696
249,e2000059-b872-4d61-9fb9-cb96378f12c8,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasBundleCluster_F18_84x30_P7,0.6718
251,e087de84-e218-4461-b6f7-59a16fbe5142,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasBundleSplit_F18_38x38_P9,0.2
253,d91844f5-75f0-4d78-b427-1beb59d17d11,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasBundleSplit_F18_64x30_P3,0.2
255,cbb69ee8-40aa-4e71-8989-ee8bf9618d8e,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasCluster2_F18_8x8,0.6794
257,db9f1b1e-fa75-496e-af7f-26656983f6c2,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasCluster3_F18_16x20,0.6797
259,d6e98917-7be9-4dde-91d8-ac8d2c3b38f4,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasCluster3_F18_30x40,0.6799
261,d87c095d-7307-4a4b-87bf-71b988d65c77,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CanvasCluster3_F18_40x30,0.6799
263,d469b117-d1b2-4424-9b2c-05800615495c,563f6010-fbf4-4474-bc7f-f35879f6b1ee,CushionPolyester_18x12,0.5277
265,d7ff42c6-e421-4b9f-bb04-449de8b04f09,563f6010-fbf4-4474-bc7f-f35879f6b1ee,DoubleSideBlanketPolar_40x30,0.8955
267,ddf41fe8-cc54-44ff-9e37-7179db8247b2,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FaceMaskEmbroidery_Adult,0.3581
269,d89ea3b6-e4d9-4fdc-bb6e-a951def79466,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_23x16_Black_PackOf3,0.5998
271,c6f01be2-ca79-44e4-972a-7f9abeed21e1,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Frame_Wooden_23x33_Black_PackOf3,0.6
273,d2d35d05-eee7-4fe7-8bca-f0e36b35b057,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FramedTile_8x10_White_PackOf8,0.68
275,df99ba18-307d-4f3f-a996-475d1caaab21,563f6010-fbf4-4474-bc7f-f35879f6b1ee,FramedTile_8x8_White_PackOf8,0.6799
277,d6bc5f1c-1b31-44e6-bc2e-64cadce5cc8f,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_IphonePlastic_iPhone5_White,0.3589
279,c4e66cb1-a349-4592-b9ad-1cd407c0bd0d,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_IphonePlastic_iPhone6_White,0.3581
281,e0951ffc-45bd-4b38-a071-9de995649aca,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_IphonePlastic_iPhoneXS_Black,0.3558
283,dfbe4efe-ee6a-476f-adc6-6dfaf5591430,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_IphoneSilicon_iPhone11_Black,0.3602
285,c851e8c2-9c66-4756-a4f0-47689474dd0f,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_SamsungPlastic_GalaxyS6EdgePlus_White,0.3581
287,d29344b0-c465-4951-bb86-40a18330fa71,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Gadget_SamsungSilicon_GalaxyS10_Black,0.3602
289,ce452b65-bbb9-4fc0-97c4-484252083e39,563f6010-fbf4-4474-bc7f-f35879f6b1ee,GreetingCard_Folded_5x7,0.6002
291,db8ab547-5c5d-4da1-bfbc-dd004de43faa,563f6010-fbf4-4474-bc7f-f35879f6b1ee,KeyRing_Heart,0.6003
293,cad5586d-8d2d-4148-9cdf-61a54dd7034c,563f6010-fbf4-4474-bc7f-f35879f6b1ee,MagnetSquare_2x2,0.36
295,d2f48311-10a9-480c-9426-511a2fd0f06d,563f6010-fbf4-4474-bc7f-f35879f6b1ee,MetalPrint_12x12,0.6799
297,df265621-8127-4322-a5b4-3583c2d66ce0,563f6010-fbf4-4474-bc7f-f35879f6b1ee,MetalPrintCluster6_10x10,0.8
299,dfb68cad-0608-4a8c-8b0e-46ea66ccd4c4,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Mug_Basic_HandleInnerBlack,0.6797
301,c33f82dc-8b78-4c58-969a-8d2ee400faa5,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Mug_Basic_White_PackOf6,0.679
303,e1c24834-8dbd-4d7b-8efd-494aea3f0ada,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Mug_Basic15oz_White_PackOf6,0.6797
305,d3de586b-dc6a-4ae2-a690-6035393cda57,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Mug_Latte_White,0.5996
307,c86d50aa-4c2a-44ab-b1d6-9a2b2014fd24,563f6010-fbf4-4474-bc7f-f35879f6b1ee,Mug_Magic_Black,0.6787
309,db99bfe6-e0f0-4563-8266-5f8e7182bbce,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_CailuxCover_11x11_Black_20pp,0.7111
311,e163ea23-adb0-4b2c-9788-03603c32dcd4,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_CailuxCover_12x8_Gray_20pp,0.6799
313,d5baac75-ecae-40e7-b5c3-84538d73e671,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_CailuxCover_8x6_Black_20pp,0.7119
315,c5f5e749-b8df-46b8-b816-4913cdc3ca21,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_CailuxCover_8x8_Black_20pp,0.6799
317,dd072355-e333-42cc-bc40-e2ed2e4a16ac,563f6010-fbf4-4474-bc7f-f35879f6b1ee,PB_LeatherCover_11x11_100pp,0.6794
