refcode,width,height,thickness,image_hint,icon_hint,platinumProductType,platinumProductSubType,platinumProductSuperType
PBLayFlat_AcrylicWinRect_16x12_Beige_20pp,400,300,0,/images/admin/ppproductsize/pblayflat_acrylicwinrect_16x12_beige_20pp_1731000061.webp,NULL,420,42028,NULL
Canvas_F18_20x30,500,750,18,/images/admin/ppproductsize/canvas_f18_20x30.webp,,4,401,NULL
PB_LeatherCover_12x8_40pp,295,208,0,/images/admin/ppproductsize/pb_leathercover_12x8_40pp.webp,,1,101,NULL
PBLayFlat_StdCailuxCover_8x8_Gray_20pp,200,200,0,/images/admin/ppproductsize/pblayflat_stdcailuxcover_8x8_gray_20pp.webp,NULL,420,42016,NULL
FramedTile_16x12_Black_PackOf4_Mount,405,302,0,/images/admin/ppproductsize/framedtile_16x12_black_packof4_1754915825.webp,NULL,430,43001,NULL
PBLayFlat_StdCailuxCover_8x12_Beige_40pp,200,300,0,/images/admin/ppproductsize/pblayflat_stdcailuxcover_8x12_beige_40pp.webp,NULL,420,42016,NULL
FramedTile_8x10_White_PackOf4,202,270,0,/images/admin/ppproductsize/framedtile_8x10_white_packof4_1754585241.webp,NULL,430,43001,NULL
Frame_Wooden_12x8_Oak,291,204,0,/images/admin/ppproductsize/frame_wooden_12x8_oak.webp,NULL,9,901,NULL
PBLayFlat_AcrylicWinSquare_12x8_Beige_20pp,300,200,0,/images/admin/ppproductsize/pblayflat_acrylicwinsquare_12x8_beige_20pp_1730996170.webp,NULL,420,42029,NULL
CanvasCluster2_F18_30x40,750,1000,18,,NULL,4,441,NULL
FramedTile_8x8_Black,201,201,0,/images/admin/ppproductsize/framedtile_8x8_black_1755698897.webp,NULL,430,43001,NULL
PB_PhotoHardCover_8x6_150pp,208,146,0,,NULL,1,105,NULL
PB_LeatherLorenzo_8x6_Purple_100pp,208,146,0,,,1,112,NULL
PB_CailuxCover_6x8_20pp,146,208,0,,NULL,1,106,NULL
CanvasBundleCluster_F18_32x22_P3,813,559,18,/images/admin/ppproductsize/canvasbundlecluster_f18_32x22_p3.webp,NULL,1295,129501,NULL
ToteBasic_16x16,406,406,0,,NULL,415,41501,NULL
